WAGNUM,OPERDATE,ST_ID_DISL,ST_ID_DEST,TRAIN_INDEX
5 266,2023-08-27 12:36:00,5 574,61,20792-360-6999
5 266,2023-08-27 21:55:00,6 999,61,20792-360-6999
5 266,2023-08-27 21:25:00,6 999,61,20792-360-6999
5 266,2023-08-27 20:33:00,6 999,61,20792-360-6999
5 266,2023-08-27 20:19:01,6 999,61,20792-360-6999
5 266,2023-08-27 20:19:00,6 999,61,20792-360-6999
5 266,2023-08-27 14:10:00,4 580,61,20792-360-6999
5 266,2023-08-27 10:39:00,5 574,61,20792-360-6999
5 266,2023-08-27 10:24:00,5 574,61,20792-360-6999
5 266,2023-08-26 20:22:00,6 140,61,20792-360-6999
5 266,2023-08-26 13:04:00,6 596,61,20792-360-6999
5 266,2023-08-26 12:41:00,6 601,61,20792-360-6999
5 266,2023-08-26 10:38:00,6 623,61,20792-360-6999
5 266,2023-08-26 09:23:00,6 632,61,20792-360-6999
5 266,2023-08-26 13:48:00,6 554,61,20792-360-6999
5 266,2023-08-26 13:44:00,6 554,61,20792-360-6999
5 266,2023-08-25 01:16:00,20 792,61,17467-130-20792
5 266,2023-08-25 05:35:00,20 792,61,20792-360-6999
5 266,2023-08-25 04:50:01,20 792,61,20792-360-6999
5 266,2023-08-25 04:50:00,20 792,61,20792-360-6999
5 266,2023-08-25 04:43:00,20 792,61,20792-360-6999
5 266,2023-08-25 04:21:00,20 792,61,20792-360-6999
5 266,2023-08-25 04:20:00,20 792,61,20792-360-6999
5 266,2023-08-25 16:16:00,7 086,61,20792-360-6999
5 266,2023-08-25 14:54:00,7 093,61,20792-360-6999
5 266,2023-08-25 11:59:00,17 483,61,20792-360-6999
5 266,2023-08-25 10:57:00,17 483,61,20792-360-6999
5 266,2023-08-24 14:12:00,17 467,61,17477-681-17467
5 266,2023-08-24 17:43:00,20 792,61,17467-130-20792
5 266,2023-08-24 17:26:00,20 792,61,17467-130-20792
5 266,2023-08-24 17:02:00,20 792,61,17467-130-20792
5 266,2023-08-24 09:59:00,17 467,61,17477-681-17467
5 266,2023-08-24 14:21:00,17 467,61,17467-130-20792
5 266,2023-08-24 18:21:00,20 792,61,17467-130-20792
5 266,2023-08-24 17:54:00,20 792,61,17467-130-20792
5 266,2023-08-24 14:12:00,17 467,61,17477-681-17467
5 266,2023-08-24 15:48:00,17 467,61,17467-130-20792
5 266,2023-08-24 16:52:00,20 792,61,17467-130-20792
5 266,2023-08-28 22:02:00,7 466,61,6999-471-7475
5 266,2023-08-27 19:21:00,7 033,61,20792-360-6999
5 266,2023-08-27 09:20:00,5 613,61,20792-360-6999
5 266,2023-08-27 08:36:00,5 619,61,20792-360-6999
5 266,2023-08-27 04:30:00,5 650,61,20792-360-6999
5 266,2023-08-27 02:22:00,5 659,61,20792-360-6999
5 266,2023-08-27 00:12:00,5 659,61,20792-360-6999
5 266,2023-08-26 12:00:00,6 610,61,20792-360-6999
5 266,2023-08-26 01:51:00,6 668,61,20792-360-6999
5 266,2023-08-26 01:35:00,6 670,61,20792-360-6999
5 266,2023-08-26 01:24:00,7 044,61,20792-360-6999
5 266,2023-08-25 16:31:00,7 085,61,20792-360-6999
5 266,2023-08-25 21:49:00,7 069,61,20792-360-6999
5 266,2023-08-25 18:42:00,7 081,61,20792-360-6999
5 266,2023-08-25 21:02:00,7 069,61,20792-360-6999
5 266,2023-08-25 17:45:00,7 081,61,20792-360-6999
5 266,2023-08-28 21:19:00,7 000,61,6999-471-7475
5 266,2023-08-27 13:22:00,5 595,61,20792-360-6999
5 266,2023-08-27 12:59:00,5 600,61,20792-360-6999
5 266,2023-08-27 08:23:00,5 621,61,20792-360-6999
5 266,2023-08-27 07:14:00,5 633,61,20792-360-6999
5 266,2023-08-27 04:51:00,5 648,61,20792-360-6999
5 266,2023-08-26 11:23:00,6 615,61,20792-360-6999
5 266,2023-08-26 10:58:00,6 619,61,20792-360-6999
5 266,2023-08-26 22:53:00,5 669,61,20792-360-6999
5 266,2023-08-26 19:12:00,6 564,61,20792-360-6999
5 266,2023-08-26 07:29:00,20 716,61,20792-360-6999
5 266,2023-08-26 22:40:00,5 669,61,20792-360-6999
5 266,2023-08-26 19:07:00,6 564,61,20792-360-6999
5 266,2023-08-26 02:59:00,20 716,61,20792-360-6999
5 266,2023-08-25 23:35:00,7 059,61,20792-360-6999
5 266,2023-08-25 22:35:00,7 064,61,20792-360-6999
5 266,2023-08-25 15:29:00,7 090,61,20792-360-6999
5 266,2023-08-25 09:57:00,17 446,61,20792-360-6999
5 266,2023-08-25 09:52:00,17 446,61,20792-360-6999
5 266,2023-08-31 15:30:00,61,61,62-102-61
5 266,2023-08-30 13:03:00,61,61,62-102-61
5 266,2023-08-30 13:10:00,61,61,62-102-61
5 266,2023-08-30 14:17:00,61,61,62-102-61
5 266,2023-08-30 12:17:00,61,61,62-102-61
5 266,2023-08-28 22:18:00,7 468,61,6999-471-7475
5 266,2023-08-28 21:53:00,7 465,61,6999-471-7475
5 266,2023-08-27 05:09:00,5 645,61,20792-360-6999
5 266,2023-08-26 23:36:00,5 662,61,20792-360-6999
5 266,2023-08-26 19:50:00,6 144,61,20792-360-6999
5 266,2023-08-26 18:55:00,6 561,61,20792-360-6999
5 266,2023-08-26 10:33:00,6 624,61,20792-360-6999
5 266,2023-08-26 08:14:00,6 641,61,20792-360-6999
5 266,2023-08-26 02:17:00,6 667,61,20792-360-6999
5 266,2023-08-26 01:06:00,7 048,61,20792-360-6999
5 266,2023-08-26 21:32:00,6 115,61,20792-360-6999
5 266,2023-08-26 21:29:00,6 115,61,20792-360-6999
5 266,2023-08-25 14:34:00,17 506,61,20792-360-6999
5 266,2023-08-25 14:34:00,17 506,61,20792-360-6999
5 266,2023-08-25 23:11:00,7 060,61,20792-360-6999
5 266,2023-08-25 10:20:00,17 477,61,20792-360-6999
